Date,Stock,Market,Open,High,Low,Close,Volume,Daily_Return_%,Cumulative_Return_%,MA_7,MA_30,MA7_Signal,Trend,Volatility_Ann_%,Daily_Range_%,Volume_Change_%,Extracted_At
2025-11-07,AAPL,US,269.2867,271.772,266.2625,267.9593,48227400,,0.0,267.9593,267.9593,Below,Downtrend,,2.0692,,2026-05-07 23:23:20
2025-11-10,AAPL,US,268.7086,273.4741,267.21,269.1781,41312400,0.4549,0.4549,268.5687,268.5687,Above,Uptrend,,2.3443,-14.3383,2026-05-07 23:23:20
2025-11-11,AAPL,US,269.5578,275.6521,269.5478,274.9927,46208300,2.1601,2.6248,270.71,270.71,Above,Uptrend,19.1413,2.2646,11.8509,2026-05-07 23:23:20
2025-11-12,AAPL,US,274.7429,275.4723,271.446,273.2144,48398000,-0.6467,1.9612,271.3361,271.3361,Above,Uptrend,22.4493,1.4833,4.7388,2026-05-07 23:23:20
2025-11-13,AAPL,US,273.8537,276.4413,271.8356,272.6949,49602800,-0.1901,1.7673,271.6079,271.6079,Above,Uptrend,19.5217,1.6943,2.4894,2026-05-07 23:23:20
2025-11-14,AAPL,US,270.7966,275.702,269.348,272.1553,47431300,-0.1978,1.5659,271.6991,271.6991,Above,Uptrend,17.5106,2.359,-4.3778,2026-05-07 23:23:20
2025-11-17,AAPL,US,268.5687,270.2371,265.4816,267.21,45018300,-1.8171,-0.2796,271.0578,271.0578,Below,Downtrend,20.8906,1.7913,-5.0874,2026-05-07 23:23:20
2025-11-18,AAPL,US,269.7376,270.4569,265.072,267.19,45677300,-0.0075,-0.2871,270.9479,270.5743,Below,Downtrend,19.0713,2.0315,1.4638,2026-05-07 23:23:20
2025-11-19,AAPL,US,265.2818,271.9555,265.2518,268.3089,40424500,0.4188,0.1305,270.8237,270.3226,Below,Downtrend,19.0336,2.5273,-11.4998,2026-05-07 23:23:20
2025-11-20,AAPL,US,270.5768,275.1725,265.6714,266.0011,45823600,-0.8601,-0.7308,269.5392,269.8905,Below,Downtrend,11.5101,3.5763,13.356,2026-05-07 23:23:20
2025-11-21,AAPL,US,265.7014,273.0745,265.4216,271.2362,59030800,1.9681,1.2229,269.2566,270.0128,Above,Uptrend,18.4429,2.8833,28.8218,2026-05-07 23:23:20
2025-11-24,AAPL,US,270.6468,276.7411,270.6468,275.6621,65585800,1.6318,2.8746,269.6805,270.4836,Above,Uptrend,21.1076,2.2518,11.1044,2026-05-07 23:23:20
2025-11-25,AAPL,US,275.0127,280.1179,274.9927,276.7111,46914200,0.3805,3.2661,270.3313,270.9626,Above,Uptrend,20.978,1.8638,-28.469,2026-05-07 23:23:20
2025-11-26,AAPL,US,276.7011,279.2687,276.3714,277.2905,33431400,0.2094,3.4823,271.7714,271.4146,Above,Uptrend,15.3917,1.0483,-28.7393,2026-05-07 23:23:20
2025-11-28,AAPL,US,277.0008,278.7392,275.732,278.5893,20135600,0.4684,3.967,273.3999,271.8929,Above,Uptrend,14.9465,1.0906,-39.7704,2026-05-07 23:23:20
2025-12-01,AAPL,US,277.7501,283.1551,275.8819,282.8354,46587700,1.5241,5.5516,275.4751,272.5768,Above,Uptrend,15.8219,2.6363,131.3698,2026-05-07 23:23:20
